"file","language","code","blank","comment"
".\src\app\(boffmedia)\_components\layout\BoffFooter.tsx","TypeScript","105","2","0"
".\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\_components\CardItem.tsx","TypeScript","105","3","0"
".\src\app\smartrotom\pokedex\habilidades\page.tsx","TypeScript","104","8","0"
".\src\components\smartrotom\minecraft\CabezaMC.tsx","TypeScript","103","14","3"
".\src\types\events.ts","TypeScript","103","9","4"
".\src\app\wingull\pueblos\[pueblo]\page.tsx","TypeScript","103","17","0"
".\src\app\smartrotom\chatapp\_components\AttachmentMenu.tsx","TypeScript","103","9","0"
".\src\app\smartrotom\pasaporte\page.tsx","TypeScript","103","8","0"
".\src\components\ui\primitives\card.tsx","TypeScript","102","17","0"
".\src\tools\pmd-sky\store.ts","TypeScript","102","16","1"
".\src\components\common\book\book.tsx","TypeScript","102","21","0"
".\src\app\(boffmedia)\(herramientas)\otros\keys\_components\KeyRow.tsx","TypeScript","102","2","0"
".\src\app\smartrotom\chatapp\_components\DocumentPicker.tsx","TypeScript","102","10","0"
".\src\app\smartrotom\pokedex\movimientos\[id]\page.tsx","TypeScript","101","8","0"
".\src\app\smartrotom\pokedex\movimientos\page.tsx","TypeScript","101","8","0"
".\src\app\smartrotom\mewtwitch\user\[username]\page.tsx","TypeScript","101","13","3"
".\src\app\smartrotom\pc\components\filter\SortDropdown.tsx","TypeScript","101","9","0"
".\src\components\boffmedia\tools\ToolsGrid.tsx","TypeScript","100","8","0"
".\src\components\smartrotom\ficusai\useFicusChat.ts","TypeScript","100","13","9"
".\src\app\(boffmedia)\_components\sections\WingullSpotlight.tsx","TypeScript","100","5","0"
".\src\app\(boffmedia)\admin\events\_components\games\GameForm.tsx","TypeScript","100","9","0"
".\src\lib\utils.ts","TypeScript","99","29","4"
".\src\app\smartrotom\chatapp\page.tsx","TypeScript","98","9","2"
".\src\app\battlesim\_utils\Scene.ts","TypeScript","98","20","8"
".\src\components\boffmedia\sections\SectionEmpty.tsx","TypeScript","97","10","0"
".\src\app\smartrotom\starbank\graficas\_components\TransactionTypeDistribution.tsx","TypeScript","97","12","3"
".\src\app\smartrotom\starbank\graficas\_components\DateRangeSelector.tsx","TypeScript","97","9","4"
".\src\app\smartrotom\arcade\voltorb\_components\GameGrid2.tsx","TypeScript","96","6","0"
".\src\components\boffmedia\sections\SectionFilters.tsx","TypeScript","96","5","0"
".\src\app\battlesim\replay\_components\ReplayControls.tsx","TypeScript","96","6","3"
".\src\app\(boffmedia)\(eventos)\juegos\[id]\_components\GameHero.tsx","TypeScript","96","12","0"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\SharpnessBar.tsx","TypeScript","96","15","10"
".\src\app\smartrotom\chatapp\_components\DocumentMessage.tsx","TypeScript","95","6","0"
".\src\app\smartrotom\arcade\_components\daily\DayReward.tsx","TypeScript","95","12","2"
".\src\app\battlesim\dex\_components\DexHeader.tsx","TypeScript","94","5","0"
".\src\app\(boffmedia)\admin\events\_components\achievements\AchievementsTab.tsx","TypeScript","94","13","0"
